game_id,names,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,image_url,age,mechanic,owned,category,designer,num_votes
87,Victory:  The Blocks of War,2,6,180,180,180,1998,6.34176,https://cf.geekdo-images.com/original/img/QKpdBuYT3t5TFyIvPawFpaSAbSM=/0x0/pic2402729.jpg,12,"Dice Rolling, Hex-and-Counter, Secret Unit Deployment",768,"Wargame, World War II","Tom Dalgliesh, Grant Dalgliesh",405
135796,Next War: Taiwan,2,0,480,120,480,2014,8.13304,https://cf.geekdo-images.com/original/img/YOwdtiAQqrgB0tWX8pkKG02vxqQ=/0x0/pic2334746.jpg,12,Hex-and-Counter,708,"Modern Warfare, Wargame","Gene Billingsley, Mitchell Land",112
19187,Dungeoneer: Realm of the Ice Witch,2,4,60,60,60,2005,6.34071,https://cf.geekdo-images.com/original/img/Sqx0ie6NVJNkKR4WXxFUeedRx5Q=/0x0/pic87559.jpg,12,"Dice Rolling, Hand Management, Modular Board, Variable Player Powers",1032,"Adventure, Card Game, Exploration, Fantasy",Thomas Denmark,409
144525,Dungeon Twister: The Card Game,2,2,60,15,60,2013,6.37013,https://cf.geekdo-images.com/original/img/4raMSKuYzfxadv4YxMi4G3WyMTk=/0x0/pic1702457.jpg,13,"Hand Management, Modular Board",1641,"Card Game, Exploration, Fantasy, Fighting, Maze",Christophe Boelinger,395
99130,Dawn of the Zeds (First edition),1,1,45,45,45,2011,7.56465,https://cf.geekdo-images.com/original/img/Sfloo1AeZgqfumdTKdWl_6_cohw=/0x0/pic1008258.jpg,13,Campaign / Battle Card Driven,313,Zombies,Hermann Luttmann,133
40935,Zoowaboo,2,4,30,20,30,2009,6.40408,https://cf.geekdo-images.com/original/img/2NFRLzDCBiRSKsgDAf1W6IT0lVQ=/0x0/pic2607545.jpg,5,"Betting/Wagering, Partnerships, Press Your Luck",547,"Action / Dexterity, Animals, Children's Game, Nautical, Real-time",Carlo A. Rossi,355
3044,Air Assault On Crete/Invasion of Malta: 1942,2,2,240,240,240,1977,6.35536,https://cf.geekdo-images.com/original/img/gKwulHiWhdpO_qZA7hAT_o4vUrA=/0x0/pic243417.jpg,12,Hex-and-Counter,1337,"Aviation / Flight, Wargame, World War II","Randall C. Reed, Vance von Borries",432
5791,Maelstrom,2,4,60,60,60,2001,6.62141,https://cf.geekdo-images.com/original/img/YGysGaDOdk7jonjh0ZbWU-Ee6HY=/0x0/pic149727.jpg,12,"Action Point Allowance System, Hand Management, Modular Board, Tile Placement",523,"Collectible Components, Fantasy","Darrell Hardy, Tom Jolly, Christian T. Petersen",275
8017,Feurio!,1,4,30,30,30,2003,6.14358,https://cf.geekdo-images.com/original/img/ciy1V5UeBeFqyBiudl9EiFa33pM=/0x0/pic32854.jpg,10,"Modular Board, Tile Placement",683,"Abstract Strategy, Environmental",Heinrich Glumpler,560
1233,Facts in Five,1,5,30,30,30,1964,6.08595,https://cf.geekdo-images.com/original/img/h9R43m3rn2b5Nehw7hPnA0Wkn8U=/0x0/pic1651611.jpg,8,none,1872,"Party Game, Trivia, Word Game",Richard Onanian,741
88253,Unconditional Surrender! Case Blue,2,2,90,90,90,2010,7.51581,https://cf.geekdo-images.com/original/img/2TLdJ9z2KIijvp3MQVccv5FEQb0=/0x0/pic2370039.jpg,14,Hex-and-Counter,665,"Print & Play, Wargame, World War II",Salvatore Vasta,136
160432,Ars Alchimia,2,4,100,100,100,2014,6.85402,https://cf.geekdo-images.com/original/img/jiMcbUlnEtv_md9XSLWf-E5QcJM=/0x0/pic2085442.jpg,10,"Set Collection, Worker Placement",532,Fantasy,Kuro,209
34334,Waterloo 20,2,2,50,50,50,2008,6.96497,https://cf.geekdo-images.com/original/img/PyKpCIrB-vpSjLssFz4xY0cFcHg=/0x0/pic297963.jpg,0,Hex-and-Counter,358,"Napoleonic, Wargame",Joseph Miranda,197
233976,Pie Town,2,4,90,60,90,2017,6.77543,https://cf.geekdo-images.com/original/img/AjAYMWStW506w1ENAgoM1v2ZZ98=/0x0/pic3710496.jpg,14,Worker Placement,603,"Deduction, Dice",Daniel Fremgen,230
217321,Déjà Vu,2,6,15,15,15,2017,6.60744,https://cf.geekdo-images.com/original/img/qLKCAyamh--90qqEHxcZ8oWsfVw=/0x0/pic3987978.png,8,Set Collection,334,"Action / Dexterity, Memory, Party Game",Heinz Meister,262
129945,HomeStretch,2,6,60,60,60,2012,6.73101,https://cf.geekdo-images.com/original/img/L6o_GLRVFp7Ewt8JbvCn0K_BhtY=/0x0/pic1405267.jpg,14,"Betting/Wagering, Card Drafting, Dice Rolling, Roll / Spin and Move, Stock Holding",375,"Animals, Racing, Sports",Frank DiLorenzo,237
5233,The Great Battles of Alexander,2,2,240,240,240,1991,7.02657,https://cf.geekdo-images.com/original/img/zybnT6sAA8YfBrbxWBPvVu8OWAc=/0x0/pic19606.jpg,12,"Dice Rolling, Hex-and-Counter, Simulation",541,"Ancient, Fighting, Wargame",Mark Herman,202
